sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Female,20908,2020-04-25,49.59,657.0,39.89,50.31
Male,20957,2020-04-25,49.7,986.0,59.87,49.69
Unknown,299,2020-04-25,0.71,4.0,0.24,
Female,21562,2020-04-26,49.61,664.0,39.62,50.31
Male,21600,2020-04-26,49.7,1007.0,60.08,49.69
Unknown,302,2020-04-26,0.69,5.0,0.3,
Female,22384,2020-04-27,49.71,688.0,39.98,50.31
Male,22337,2020-04-27,49.6,1028.0,59.73,49.69
Unknown,310,2020-04-27,0.69,5.0,0.29,
Female,23154,2020-04-28,49.79,725.0,40.08,50.31
Male,23045,2020-04-28,49.56,1079.0,59.65,49.69
Unknown,301,2020-04-28,0.65,5.0,0.28,
Female,24247,2020-04-29,49.57,764.0,40.42,50.31
Male,24372,2020-04-29,49.82,1121.0,59.31,49.69
Unknown,298,2020-04-29,0.61,5.0,0.26,
Female,24973,2020-04-30,49.5,812.0,40.8,50.31
Male,25167,2020-04-30,49.9,1171.0,58.9,49.69
Unknown,302,2020-04-30,0.6,5.0,0.3,
Female,25881,2020-05-01,49.58,858.0,41.19,50.31
Male,26006,2020-05-01,49.82,1220.0,58.57,49.69
Unknown,310,2020-05-01,0.59,5.0,0.24,
Female,26556,2020-05-02,49.5,887.0,41.5,50.3
Male,26716,2020-05-02,49.8,1246.0,58.3,49.7
Unknown,344,2020-05-02,0.6,5.0,0.2,0.0
Female,27239,2020-05-03,49.58,905.0,41.55,50.3
Male,27332,2020-05-03,49.75,1268.0,58.22,49.7
Unknown,366,2020-05-03,0.67,5.0,0.23,0.0
Female,27853,2020-05-04,49.5,929.0,41.8,50.3
Male,27980,2020-05-04,49.8,1287.0,57.9,49.7
Unknown,379,2020-05-04,0.7,5.0,0.2,0.0
Female,29190,2020-05-05,49.6,990.0,42.6,50.3
Male,29193,2020-05-05,49.6,1330.0,57.2,49.7
Unknown,432,2020-05-05,0.7,5.0,0.2,0.0
Female,30109,2020-05-06,49.7,1039.0,43.1,50.3
Male,30096,2020-05-06,49.7,1368.0,56.7,49.7
Unknown,409,2020-05-06,0.7,5.0,0.2,0.0
Female,30972,2020-05-07,49.5,1061.0,42.6,50.3
Male,31111,2020-05-07,49.8,1427.0,57.2,49.7
Unknown,429,2020-05-07,0.7,5.0,0.2,0.0
Female,31756,2020-05-08,49.2,1101.0,42.7,50.3
Male,32379,2020-05-08,50.2,1470.0,57.1,49.7
Unknown,426,2020-05-08,0.7,5.0,0.2,0.0
Female,32660,2020-05-09,49.0,1144.0,43.1,50.3
Male,33584,2020-05-09,50.4,1509.0,56.8,49.7
Unknown,436,2020-05-09,0.7,4.0,0.2,0.0
Female,33291,2020-05-10,49.0,1161.0,43.1,50.3
Male,34221,2020-05-10,50.4,1526.0,56.7,49.7
Unknown,427,2020-05-10,0.6,4.0,0.1,0.0
Female,33992,2020-05-11,49.0,1187.0,43.1,50.3
Male,34955,2020-05-11,50.4,1561.0,56.7,49.7
Unknown,435,2020-05-11,0.6,4.0,0.1,0.0
Female,34851,2020-05-12,49.0,1230.0,43.2,50.3
Male,35845,2020-05-12,50.4,1612.0,56.6,49.7
Unknown,445,2020-05-12,0.6,4.0,0.1,0.0
Female,35890,2020-05-13,49.1,1267.0,43.3,50.3
Male,36826,2020-05-13,50.3,1655.0,56.6,49.7
Unknown,448,2020-05-13,0.6,4.0,0.1,0.0
Female,36728,2020-05-14,49.0,1315.0,43.4,50.3
Male,37744,2020-05-14,50.4,1710.0,56.5,49.7
Unknown,464,2020-05-14,0.6,4.0,0.1,0.0
Female,37676,2020-05-15,49.1,1363.0,43.7,50.3
Male,38647,2020-05-15,50.3,1752.0,56.2,49.7
Unknown,470,2020-05-15,0.6,4.0,0.1,0.0
Female,38662,2020-05-16,49.0,1397.0,43.9,50.3
Male,39701,2020-05-16,50.4,1778.0,55.9,49.7
Unknown,476,2020-05-16,0.6,4.0,0.1,0.0
Female,39425,2020-05-17,49.0,1412.0,43.9,50.3
Male,40533,2020-05-17,50.4,1800.0,56.0,49.7
Unknown,472,2020-05-17,0.6,4.0,0.1,0.0
Female,40105,2020-05-18,49.0,1426.0,43.9,50.3
Male,41214,2020-05-18,50.4,1820.0,56.0,49.7
Unknown,476,2020-05-18,0.6,4.0,0.1,0.0
Female,41226,2020-05-19,49.0,1483.0,44.0,50.3
Male,42336,2020-05-19,50.4,1887.0,55.9,49.7
Unknown,495,2020-05-19,0.6,4.0,0.1,0.0
Female,42252,2020-05-20,49.0,1521.0,44.1,50.3
Male,43450,2020-05-20,50.4,1926.0,55.8,49.7
Unknown,495,2020-05-20,0.6,4.0,0.1,0.0
Female,43272,2020-05-21,48.9,1562.0,44.1,50.3
Male,44534,2020-05-21,50.4,1978.0,55.8,49.7
Unknown,638,2020-05-21,0.7,4.0,0.1,0.0
Female,44539,2020-05-22,49.1,1584.0,44.1,50.3
Male,45580,2020-05-22,50.3,2000.0,55.7,49.7
Unknown,512,2020-05-22,0.6,5.0,0.1,0.0
Female,45597,2020-05-23,49.2,1608.0,44.1,50.3
Male,46595,2020-05-23,50.3,2033.0,55.8,49.7
Unknown,518,2020-05-23,0.6,5.0,0.1,0.0
Female,46544,2020-05-24,49.2,1616.0,44.1,50.3
Male,47490,2020-05-24,50.2,2045.0,55.8,49.7
Unknown,524,2020-05-24,0.6,5.0,0.1,0.0
Female,47595,2020-05-25,49.2,1620.0,44.0,50.3
Male,48614,2020-05-25,50.3,2054.0,55.8,49.7
Unknown,524,2020-05-25,0.5,5.0,0.1,0.0
Female,48739,2020-05-26,49.2,1631.0,44.0,50.3
Male,49714,2020-05-26,50.2,2071.0,55.9,49.7
Unknown,527,2020-05-26,0.5,5.0,0.1,0.0
Female,50091,2020-05-27,49.3,1682.0,44.1,50.3
Male,51067,2020-05-27,50.2,2129.0,55.8,49.7
Unknown,539,2020-05-27,0.5,5.0,0.1,0.0
Female,51169,2020-05-28,49.3,1725.0,44.2,50.3
Male,52177,2020-05-28,50.2,2173.0,55.7,49.7
Unknown,540,2020-05-28,0.5,6.0,0.2,0.0
Female,52561,2020-05-29,49.2,1759.0,44.1,50.3
Male,53765,2020-05-29,50.3,2220.0,55.7,49.7
Unknown,552,2020-05-29,0.5,6.0,0.2,0.0
Female,54396,2020-05-30,49.2,1784.0,44.1,50.3
Male,55627,2020-05-30,50.3,2253.0,55.7,49.7
Unknown,560,2020-05-30,0.5,6.0,0.1,0.0
Female,55605,2020-05-31,49.2,1797.0,44.0,50.3
Male,56841,2020-05-31,50.3,2277.0,55.8,49.7
Unknown,560,2020-05-31,0.5,6.0,0.1,0.0
Female,56728,2020-06-01,49.2,1816.0,44.0,50.3
Male,58001,2020-06-01,50.3,2305.0,55.9,49.7
Unknown,581,2020-06-01,0.5,6.0,0.1,0.0
Female,57878,2020-06-02,49.2,1866.0,44.1,50.3
Male,59237,2020-06-02,50.3,2359.0,55.8,49.7
Unknown,572,2020-06-02,0.5,6.0,0.1,0.0
Female,58886,2020-06-03,49.2,1894.0,44.1,50.3
Male,60336,2020-06-03,50.4,2398.0,55.8,49.7
Unknown,585,2020-06-03,0.5,6.0,0.1,0.0
Female,60404,2020-06-04,49.1,1921.0,44.0,50.3
Male,61884,2020-06-04,50.4,2441.0,55.9,49.7
Unknown,613,2020-06-04,0.5,6.0,0.1,0.0
Female,61848,2020-06-05,49.1,1947.0,43.9,50.3
Male,63565,2020-06-05,50.4,2482.0,56.0,49.7
Unknown,603,2020-06-05,0.5,6.0,0.1,0.0
Female,63173,2020-06-06,49.0,1979.0,44.0,50.3
Male,65024,2020-06-06,50.5,2516.0,55.9,49.7
Unknown,615,2020-06-06,0.5,6.0,0.1,0.0
Female,64392,2020-06-07,49.0,1991.0,44.0,50.3
Male,66303,2020-06-07,50.5,2531.0,55.9,49.7
Unknown,624,2020-06-07,0.5,6.0,0.1,0.0
Female,65556,2020-06-08,49.1,2008.0,44.0,50.3
Male,67306,2020-06-08,50.4,2545.0,55.8,49.7
Unknown,627,2020-06-08,0.5,6.0,0.1,0.0
Female,66889,2020-06-09,49.1,2047.0,43.9,50.3
Male,68667,2020-06-09,50.4,2609.0,56.0,49.7
Unknown,635,2020-06-09,0.5,7.0,0.2,0.0
Female,68430,2020-06-10,49.1,2094.0,43.9,50.3
Male,70212,2020-06-10,50.4,2669.0,56.0,49.7
Unknown,639,2020-06-10,0.5,6.0,0.1,0.0
Female,69729,2020-06-11,49.1,2126.0,44.0,50.3
Male,71605,2020-06-11,50.4,2700.0,55.9,49.7
Unknown,649,2020-06-11,0.5,6.0,0.1,0.0
Female,71501,2020-06-12,49.1,2146.0,44.0,50.3
Male,73480,2020-06-12,50.5,2727.0,55.9,49.7
Unknown,662,2020-06-12,0.5,6.0,0.1,0.0
Female,73095,2020-06-13,49.1,2184.0,44.0,50.3
Male,75088,2020-06-13,50.4,2772.0,55.9,49.7
Unknown,672,2020-06-13,0.5,5.0,0.1,0.0
Female,74350,2020-06-14,49.1,2189.0,44.0,50.3
Male,76412,2020-06-14,50.5,2786.0,55.9,49.7
Unknown,690,2020-06-14,0.5,5.0,0.1,0.0
Female,75416,2020-06-15,49.1,2197.0,43.9,50.3
Female,264666,2020-08-05,49.9,4129.0,42.7,50.3
Male,259382,2020-08-05,48.9,5516.0,57.1,49.7
Unknown,5932,2020-08-05,1.1,15.0,0.2,0.0
Male,77466,2020-06-15,50.4,2800.0,56.0,49.7
Unknown,678,2020-06-15,0.4,5.0,0.1,0.0
Female,77199,2020-06-16,49.2,2226.0,44.0,50.3
Male,79128,2020-06-16,50.4,2833.0,55.9,49.7
Unknown,688,2020-06-16,0.4,5.0,0.1,0.0
Female,79243,2020-06-17,49.2,2260.0,44.0,50.3
Male,81212,2020-06-17,50.4,2877.0,56.0,49.7
Unknown,644,2020-06-17,0.4,5.0,0.1,0.0
Female,81326,2020-06-18,49.2,2307.0,43.9,50.3
Male,83438,2020-06-18,50.4,2937.0,55.9,49.7
Unknown,652,2020-06-18,0.4,6.0,0.1,0.0
Female,83285,2020-06-19,49.2,2328.0,43.8,50.3
Male,85352,2020-06-19,50.4,2984.0,56.1,49.7
Unknown,672,2020-06-19,0.4,6.0,0.1,0.0
Female,85516,2020-06-20,49.2,2368.0,43.8,50.3
Male,87602,2020-06-20,50.4,3028.0,56.1,49.7
Unknown,706,2020-06-20,0.4,6.0,0.1,0.0
Female,87641,2020-06-21,49.2,2372.0,43.7,50.3
Male,89690,2020-06-21,50.4,3047.0,56.2,49.7
Unknown,723,2020-06-21,0.4,6.0,0.1,0.0
Female,90119,2020-06-22,49.2,2384.0,43.8,50.3
Male,92199,2020-06-22,50.4,3055.0,56.1,49.7
Unknown,755,2020-06-22,0.4,6.0,0.1,0.0
Female,93554,2020-06-23,49.2,2397.0,43.6,50.3
Male,95884,2020-06-23,50.4,3095.0,56.3,49.7
Unknown,784,2020-06-23,0.4,7.0,0.1,0.0
Female,96068,2020-06-24,49.1,2445.0,43.6,50.3
Male,98718,2020-06-24,50.5,3151.0,56.2,49.7
Unknown,785,2020-06-24,0.4,7.0,0.1,0.0
Female,98564,2020-06-25,49.2,2500.0,43.7,50.3
Male,101070,2020-06-25,50.4,3210.0,56.1,49.7
Unknown,827,2020-06-25,0.4,7.0,0.1,0.0
Female,101509,2020-06-26,49.2,2524.0,43.6,50.3
Male,104025,2020-06-26,50.4,3255.0,56.3,49.7
Unknown,899,2020-06-26,0.4,7.0,0.1,0.0
Female,103517,2020-06-27,49.2,2531.0,43.6,50.3
Male,105949,2020-06-27,50.4,3272.0,56.3,49.7
Unknown,1777,2020-06-27,0.4,7.0,0.1,0.0
Female,106610,2020-06-28,49.2,2554.0,43.7,50.3
Male,108973,2020-06-28,50.3,3289.0,56.2,49.7
Unknown,967,2020-06-28,0.4,7.0,0.1,0.0
Female,109850,2020-06-29,49.3,2566.0,43.7,50.3
Male,112043,2020-06-29,50.3,3304.0,56.2,49.7
Unknown,1024,2020-06-29,0.5,7.0,0.1,0.0
Female,114626,2020-06-30,49.3,2607.0,43.6,50.3
Male,116952,2020-06-30,50.3,3363.0,56.3,49.7
Unknown,1079,2020-06-30,0.5,8.0,0.1,0.0
Female,118389,2020-07-01,49.3,2644.0,43.6,50.3
Male,120678,2020-07-01,50.2,3407.0,56.2,49.7
Unknown,1128,2020-07-01,0.5,8.0,0.1,0.0
Female,122484,2020-07-02,49.3,2701.0,43.7,50.3
Male,124555,2020-07-02,50.2,3475.0,56.2,49.7
Unknown,1196,2020-07-02,0.5,8.0,0.1,0.0
Female,125717,2020-07-03,49.4,2731.0,43.7,50.3
Male,127760,2020-07-03,50.2,3508.0,56.2,49.7
Unknown,1268,2020-07-03,0.5,8.0,0.1,0.0
Female,128461,2020-07-04,49.4,2740.0,43.7,50.3
Male,130351,2020-07-04,50.1,3517.0,56.1,49.7
Unknown,1343,2020-07-04,0.5,8.0,0.1,0.0
Female,134224,2020-07-05,49.4,2759.0,43.8,50.3
Male,136050,2020-07-05,50.1,3534.0,56.1,49.7
Unknown,1410,2020-07-05,0.5,8.0,0.1,0.0
Female,137284,2020-07-06,49.4,2785.0,43.8,50.3
Male,139077,2020-07-06,50.1,3569.0,56.1,49.7
Unknown,1413,2020-07-06,0.5,8.0,0.1,0.0
Female,142868,2020-07-07,49.4,2831.0,43.7,50.3
Male,145044,2020-07-07,50.1,3636.0,56.2,49.7
Unknown,1556,2020-07-07,0.5,8.0,0.1,0.0
Female,146384,2020-07-08,49.4,2888.0,43.6,50.3
Male,148498,2020-07-08,50.1,3725.0,56.3,49.7
Unknown,1617,2020-07-08,0.5,8.0,0.1,0.0
Female,150192,2020-07-09,49.4,2951.0,43.5,50.3
Male,152444,2020-07-09,50.1,3828.0,56.4,49.7
Unknown,1661,2020-07-09,0.5,8.0,0.1,0.0
Female,154241,2020-07-10,49.4,2989.0,43.4,50.3
Male,156397,2020-07-10,50.1,3895.0,56.5,49.7
Unknown,1706,2020-07-10,0.5,8.0,0.1,0.0
Female,158488,2020-07-11,49.4,3026.0,43.3,50.3
Male,160558,2020-07-11,50.0,3954.0,56.6,49.7
Unknown,1758,2020-07-11,0.5,9.0,0.1,0.0
Female,162718,2020-07-12,49.4,3040.0,43.3,50.3
Male,164635,2020-07-12,50.0,3965.0,56.5,49.7
Unknown,1809,2020-07-12,0.5,9.0,0.1,0.0
Female,166525,2020-07-13,49.5,3046.0,43.3,50.3
Male,168074,2020-07-13,50.0,3983.0,56.6,49.7
Unknown,1909,2020-07-13,0.5,10.0,0.1,0.0
Female,172288,2020-07-14,49.6,3107.0,43.4,50.3
Male,173454,2020-07-14,49.9,4048.0,56.5,49.7
Unknown,1892,2020-07-14,0.5,9.0,0.1,0.0
Female,176728,2020-07-15,49.6,3151.0,43.3,50.3
Male,177540,2020-07-15,49.8,4122.0,56.6,49.7
Unknown,1910,2020-07-15,0.5,10.0,0.1,0.0
Female,181894,2020-07-16,49.7,3194.0,43.1,50.3
Male,182303,2020-07-16,49.8,4205.0,56.8,49.7
Unknown,1967,2020-07-16,0.5,10.0,0.1,0.0
Female,186551,2020-07-17,49.7,3242.0,43.1,50.3
Male,186838,2020-07-17,49.8,4279.0,56.8,49.7
Unknown,1974,2020-07-17,0.5,9.0,0.1,0.0
Female,191173,2020-07-18,49.7,3279.0,43.0,50.3
Male,191472,2020-07-18,49.8,4331.0,56.8,49.7
Unknown,2047,2020-07-18,0.5,10.0,0.1,0.0
Female,194690,2020-07-19,49.7,3290.0,43.0,50.3
Male,194780,2020-07-19,49.7,4351.0,56.9,49.7
Unknown,2068,2020-07-19,0.5,10.0,0.1,0.0
Female,199561,2020-07-20,49.8,3303.0,43.0,50.3
Male,199097,2020-07-20,49.7,4364.0,56.8,49.7
Unknown,2111,2020-07-20,0.5,10.0,0.1,0.0
Female,206176,2020-07-21,49.9,3346.0,42.9,50.3
Male,205180,2020-07-21,49.6,4436.0,56.9,49.7
Unknown,2220,2020-07-21,0.5,11.0,0.1,0.0
Female,212405,2020-07-22,49.9,3409.0,42.9,50.3
Male,210959,2020-07-22,49.6,4530.0,57.0,49.7
Unknown,2252,2020-07-22,0.5,10.0,0.1,0.0
Female,217370,2020-07-23,49.9,3466.0,42.8,50.3
Male,215652,2020-07-23,49.5,4620.0,57.1,49.7
Unknown,2312,2020-07-23,0.5,10.0,0.1,0.0
Female,222622,2020-07-24,50.0,3523.0,42.7,50.3
Male,220392,2020-07-24,49.5,4708.0,57.1,49.7
Unknown,2386,2020-07-24,0.5,11.0,0.1,0.0
Female,226906,2020-07-25,50.0,3577.0,42.7,50.3
Male,224248,2020-07-25,49.4,4794.0,57.2,49.7
Unknown,2505,2020-07-25,0.6,11.0,0.1,0.0
Female,230423,2020-07-26,50.0,3591.0,42.7,50.3
Male,227545,2020-07-26,49.4,4810.0,57.2,49.7
Unknown,2582,2020-07-26,0.6,11.0,0.1,0.0
Female,233477,2020-07-27,50.0,3607.0,42.8,50.3
Male,230415,2020-07-27,49.4,4818.0,57.1,49.7
Unknown,2658,2020-07-27,0.6,11.0,0.1,0.0
Female,238049,2020-07-28,50.1,3630.0,42.6,50.3
Male,234575,2020-07-28,49.4,4875.0,57.2,49.7
Unknown,2681,2020-07-28,0.6,11.0,0.1,0.0
Female,242598,2020-07-29,50.0,3740.0,42.7,50.3
Male,238861,2020-07-29,49.2,5000.0,57.1,49.7
Unknown,4043,2020-07-29,0.8,11.0,0.1,0.0
Female,246279,2020-07-30,49.9,3831.0,42.9,50.3
Male,242315,2020-07-30,49.1,5095.0,57.0,49.7
Unknown,4994,2020-07-30,1.0,13.0,0.1,0.0
Female,249479,2020-07-31,49.9,3904.0,42.9,50.3
Male,245247,2020-07-31,49.0,5178.0,56.9,49.7
Unknown,5404,2020-07-31,1.1,13.0,0.1,0.0
Female,254017,2020-08-01,49.9,3962.0,42.8,50.3
Male,249405,2020-08-01,49.0,5277.0,57.0,49.7
Unknown,5740,2020-08-01,1.1,13.0,0.1,0.0
Female,256875,2020-08-02,49.9,3991.0,42.8,50.3
Male,252050,2020-08-02,49.0,5322.0,57.1,49.7
Unknown,5976,2020-08-02,1.2,13.0,0.1,0.0
Female,259130,2020-08-03,49.9,4000.0,42.8,50.3
Male,254274,2020-08-03,49.0,5336.0,57.1,49.7
Unknown,6023,2020-08-03,1.2,13.0,0.1,0.0
Female,261806,2020-08-04,49.9,4074.0,42.8,50.3
Male,256828,2020-08-04,48.9,5432.0,57.1,49.7
Unknown,6088,2020-08-04,1.2,14.0,0.1,0.0
Female,269155,2020-08-06,50.0,4188.0,42.7,50.3
Male,263409,2020-08-06,48.9,5605.0,57.2,49.7
Unknown,5852,2020-08-06,1.1,14.0,0.1,0.0
Female,273123,2020-08-07,50.0,4252.0,42.6,50.3
Male,266780,2020-08-07,48.9,5718.0,57.3,49.7
Unknown,5884,2020-08-07,1.1,12.0,0.1,0.0
Female,277523,2020-08-08,50.1,4328.0,42.5,50.3
Male,270528,2020-08-08,48.8,5831.0,57.3,49.7
Unknown,6109,2020-08-08,1.1,14.0,0.1,0.0
Female,281543,2020-08-09,50.1,4363.0,42.6,50.3
Male,274192,2020-08-09,48.8,5870.0,57.3,49.7
Unknown,6176,2020-08-09,1.1,14.0,0.1,0.0
Female,287810,2020-08-10,50.1,4376.0,42.6,50.3
Male,279981,2020-08-10,48.7,5881.0,57.3,49.7
Unknown,6620,2020-08-10,1.2,15.0,0.1,0.0
Female,293952,2020-08-11,50.2,4462.0,42.5,50.3
Male,285476,2020-08-11,48.7,6012.0,57.3,49.7
Unknown,6628,2020-08-11,1.1,17.0,0.2,0.0
Female,297645,2020-08-12,50.2,4537.0,42.5,50.3
Male,288921,2020-08-12,48.7,6112.0,57.3,49.7
Unknown,6575,2020-08-12,1.1,17.0,0.2,0.0
Female,301863,2020-08-13,50.2,4602.0,42.5,50.3
Male,292627,2020-08-13,48.7,6211.0,57.3,49.7
Unknown,6585,2020-08-13,1.1,18.0,0.2,0.0
Female,308346,2020-08-14,50.2,4673.0,42.5,50.3
Male,298738,2020-08-14,48.7,6304.0,57.3,49.7
Unknown,6605,2020-08-14,1.1,17.0,0.2,0.0
Female,312301,2020-08-15,50.2,4714.0,42.5,50.3
Male,302532,2020-08-15,48.7,6371.0,57.4,49.7
Unknown,6729,2020-08-15,1.1,19.0,0.2,0.0
Female,315642,2020-08-16,50.3,4718.0,42.5,50.3
Male,305562,2020-08-16,48.7,6377.0,57.4,49.7
Unknown,6827,2020-08-16,1.1,19.0,0.2,0.0
Female,317984,2020-08-17,50.3,4728.0,42.4,50.3
Male,307821,2020-08-17,48.7,6402.0,57.4,49.7
Unknown,6862,2020-08-17,1.1,15.0,0.1,0.0
Female,321189,2020-08-18,50.3,4784.0,42.3,50.3
Male,310752,2020-08-18,48.6,6502.0,57.5,49.7
Unknown,6890,2020-08-18,1.1,15.0,0.1,0.0
Female,324262,2020-08-19,50.3,4856.0,42.4,50.3
Male,313639,2020-08-19,48.6,6594.0,57.5,49.7
Unknown,6850,2020-08-19,1.1,16.0,0.1,0.0
Female,327161,2020-08-20,50.3,4905.0,42.3,50.3
Male,316372,2020-08-20,48.6,6667.0,57.5,49.7
Unknown,6803,2020-08-20,1.0,18.0,0.2,0.0
Female,330632,2020-08-21,50.3,4966.0,42.3,50.3
Male,319444,2020-08-21,48.6,6758.0,57.6,49.7
Unknown,6816,2020-08-21,1.0,17.0,0.1,0.0
Female,334071,2020-08-22,50.3,5044.0,42.2,50.3
Male,322768,2020-08-22,48.6,6883.0,57.6,49.7
Unknown,6830,2020-08-22,1.0,18.0,0.2,0.0
Female,336578,2020-08-23,50.3,5047.0,42.2,50.3
Male,325212,2020-08-23,48.6,6887.0,57.6,49.7
Unknown,6825,2020-08-23,1.0,21.0,0.2,0.0
Female,338946,2020-08-24,50.4,5071.0,42.2,50.3
Male,327315,2020-08-24,48.6,6911.0,57.6,49.7
Unknown,6834,2020-08-24,1.0,21.0,0.2,0.0
Female,342058,2020-08-25,50.4,5140.0,42.3,50.3
Male,330194,2020-08-25,48.6,6998.0,57.6,49.7
Unknown,6847,2020-08-25,1.0,20.0,0.2,0.0
Female,344479,2020-08-26,50.4,5203.0,42.3,50.3
Male,332354,2020-08-26,48.6,7072.0,57.5,49.7
Unknown,6696,2020-08-26,1.0,21.0,0.2,0.0
Female,347253,2020-08-27,50.4,5273.0,42.3,50.3
Male,334946,2020-08-27,48.6,7166.0,57.5,49.7
Unknown,6659,2020-08-27,1.0,22.0,0.2,0.0
Female,349907,2020-08-28,50.4,5317.0,42.3,50.3
Male,337348,2020-08-28,48.6,7230.0,57.5,49.7
Unknown,6584,2020-08-28,0.9,22.0,0.2,0.0
Female,353037,2020-08-29,50.4,5388.0,42.3,50.3
Male,340298,2020-08-29,48.6,7335.0,57.6,49.7
Unknown,6574,2020-08-29,0.9,22.0,0.2,0.0
Female,355181,2020-08-30,50.4,5399.0,42.3,50.3
Male,342297,2020-08-30,48.6,7336.0,57.5,49.7
Unknown,6607,2020-08-30,0.9,22.0,0.2,0.0
Female,357162,2020-08-31,50.5,5409.0,42.3,50.3
Male,344006,2020-08-31,48.6,7364.0,57.6,49.7
Unknown,6629,2020-08-31,0.9,22.0,0.2,0.0
Female,359315,2020-09-01,50.5,5473.0,42.3,50.3
Male,346117,2020-09-01,48.6,7456.0,57.6,49.7
Unknown,6620,2020-09-01,0.9,24.0,0.2,0.0
Female,362183,2020-09-02,50.5,5538.0,42.2,50.3
Male,348495,2020-09-02,48.6,7558.0,57.6,49.7
Unknown,6499,2020-09-02,0.9,24.0,0.2,0.0
Female,364956,2020-09-03,50.5,5616.0,42.3,50.3
Male,350835,2020-09-03,48.6,7652.0,57.6,49.7
Unknown,6492,2020-09-03,0.9,24.0,0.2,0.0
Female,367462,2020-09-04,50.5,5699.0,42.3,50.3
Male,353245,2020-09-04,48.6,7746.0,57.5,49.7
Unknown,6532,2020-09-04,0.9,24.0,0.2,0.0
Female,369877,2020-09-05,50.5,5755.0,42.3,50.3
Male,355719,2020-09-05,48.6,7814.0,57.5,49.7
Unknown,6548,2020-09-05,0.9,23.0,0.2,0.0
Female,371456,2020-09-06,50.5,5760.0,42.4,50.3
Male,357224,2020-09-06,48.6,7813.0,57.5,49.7
Unknown,6555,2020-09-06,0.9,23.0,0.2,0.0
Female,372728,2020-09-07,50.5,5783.0,42.4,50.3
Male,358617,2020-09-07,48.6,7841.0,57.5,49.7
Unknown,6566,2020-09-07,0.9,23.0,0.2,0.0
Female,373544,2020-09-08,50.5,5823.0,42.4,50.3
Male,359429,2020-09-08,48.6,7881.0,57.4,49.7
Unknown,6554,2020-09-08,0.9,23.0,0.2,0.0
Female,375254,2020-09-09,50.5,5875.0,42.4,50.3
Male,361051,2020-09-09,48.6,7949.0,57.4,49.7
Unknown,6560,2020-09-09,0.9,23.0,0.2,0.0
Female,376954,2020-09-10,50.5,5927.0,42.4,50.3
Male,362679,2020-09-10,48.6,8012.0,57.4,49.7
Unknown,6558,2020-09-10,0.9,24.0,0.2,0.0
